epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,20806.5,1.43879,0.92547,0.91982,0.83503,0.70395,0.76617,0.54913,1.40943,0.87244,0.9332,0.000302761,0.000302761,0.000302761
100,20954.5,1.40902,0.90836,0.91772,0.8398,0.7147,0.77511,0.57029,1.38293,0.86549,0.92579,0.000299851,0.000299851,0.000299851
101,21109,1.42197,0.91528,0.92327,0.81325,0.71806,0.77184,0.56174,1.41514,0.87586,0.93065,0.00029694,0.00029694,0.00029694
102,21280.9,1.41842,0.92186,0.92054,0.83165,0.71898,0.77768,0.5682,1.38901,0.85869,0.92759,0.000294029,0.000294029,0.000294029
103,21411.3,1.39015,0.90073,0.91869,0.86089,0.70097,0.76756,0.55971,1.37787,0.86132,0.92701,0.000291119,0.000291119,0.000291119
104,21538.7,1.4107,0.90583,0.91515,0.85066,0.71366,0.77102,0.56176,1.379,0.86181,0.92585,0.000288208,0.000288208,0.000288208
105,21719.5,1.40546,0.90169,0.91454,0.85242,0.71586,0.78199,0.57268,1.37816,0.85058,0.92595,0.000285298,0.000285298,0.000285298
106,21975.4,1.40658,0.89676,0.91699,0.84955,0.70975,0.77137,0.57048,1.37117,0.85301,0.925,0.000282387,0.000282387,0.000282387
107,22039.6,1.41564,0.90649,0.91951,0.82372,0.7114,0.77898,0.57437,1.37874,0.85103,0.9253,0.000279476,0.000279476,0.000279476
108,22122.1,1.42107,0.91318,0.91142,0.83667,0.71981,0.77984,0.57679,1.36654,0.85866,0.92466,0.000276566,0.000276566,0.000276566
109,22348,1.41142,0.8971,0.91395,0.86619,0.71527,0.782,0.57883,1.36396,0.84723,0.92222,0.000273655,0.000273655,0.000273655
110,22598.6,1.40041,0.89437,0.91324,0.84899,0.71932,0.7853,0.57867,1.3715,0.83011,0.92292,0.000270745,0.000270745,0.000270745
111,22732.3,1.38345,0.88189,0.91675,0.84334,0.7301,0.78612,0.5863,1.36887,0.83555,0.92364,0.000267834,0.000267834,0.000267834
112,22946,1.38519,0.87831,0.91233,0.84873,0.72447,0.78948,0.57693,1.37208,0.84137,0.92309,0.000264923,0.000264923,0.000264923
113,23261.9,1.38727,0.87635,0.90972,0.85401,0.71522,0.78547,0.57986,1.35928,0.82813,0.92235,0.000262013,0.000262013,0.000262013
114,23372.4,1.4104,0.89081,0.91236,0.84462,0.73155,0.79014,0.58169,1.36006,0.82694,0.91913,0.000259102,0.000259102,0.000259102
115,23592.1,1.39433,0.88521,0.90934,0.82833,0.72881,0.79062,0.57883,1.37693,0.84585,0.92418,0.000256192,0.000256192,0.000256192
116,23783.7,1.38029,0.87852,0.91401,0.8448,0.72928,0.79149,0.58599,1.36663,0.83397,0.92264,0.000253281,0.000253281,0.000253281
117,23892.8,1.40529,0.8935,0.91392,0.86072,0.71954,0.78992,0.58425,1.34694,0.82899,0.91895,0.00025037,0.00025037,0.00025037
